logAge_lower logAge_upper cum_sfh_lower_sys cum_sfh_upper_sys MH_lower_sys MH_upper_sys sfr_lower_PARSEC_YBC sfr_PARSEC_YBC sfr_upper_PARSEC_YBC cum_sfh_lower_PARSEC_YBC cum_sfh_PARSEC_YBC cum_sfh_upper_PARSEC_YBC MH_lower_PARSEC_YBC MH_PARSEC_YBC MH_upper_PARSEC_YBC sfr_lower_MIST_YBC sfr_MIST_YBC sfr_upper_MIST_YBC cum_sfh_lower_MIST_YBC cum_sfh_MIST_YBC cum_sfh_upper_MIST_YBC MH_lower_MIST_YBC MH_MIST_YBC MH_upper_MIST_YBC sfr_lower_BaSTIv2_YBC sfr_BaSTIv2_YBC sfr_upper_BaSTIv2_YBC cum_sfh_lower_BaSTIv2_YBC cum_sfh_BaSTIv2_YBC cum_sfh_upper_BaSTIv2_YBC MH_lower_BaSTIv2_YBC MH_BaSTIv2_YBC MH_upper_BaSTIv2_YBC sfr_lower_PARSEC_MIST sfr_PARSEC_MIST sfr_upper_PARSEC_MIST cum_sfh_lower_PARSEC_MIST cum_sfh_PARSEC_MIST cum_sfh_upper_PARSEC_MIST MH_lower_PARSEC_MIST MH_PARSEC_MIST MH_upper_PARSEC_MIST sfr_lower_MIST_MIST sfr_MIST_MIST sfr_upper_MIST_MIST cum_sfh_lower_MIST_MIST cum_sfh_MIST_MIST cum_sfh_upper_MIST_MIST MH_lower_MIST_MIST MH_MIST_MIST MH_upper_MIST_MIST sfr_lower_BaSTIv2_MIST sfr_BaSTIv2_MIST sfr_upper_BaSTIv2_MIST cum_sfh_lower_BaSTIv2_MIST cum_sfh_BaSTIv2_MIST cum_sfh_upper_BaSTIv2_MIST MH_lower_BaSTIv2_MIST MH_BaSTIv2_MIST MH_upper_BaSTIv2_MIST
6.600 6.650 1.0000000 1.0000000 -1.1994318 -1.0109926 9.3918230e-03 1.1585097e-02 1.4174256e-02 1.0000000 1.0000000 1.0000000 -1.1844986 -1.1806825e+00 -1.1696692 1.2755093e-02 0.0147510 1.7001044e-02 1.0000000 1.0000000 1.0000000e+00 -1.1994318 -1.1993088 -1.1729082e+00 0.0194984 0.0215724 2.3909529e-02 1.0000000e+00 1.0000000 1.0000000 -1.1100437 -1.1043808e+00 -1.0779230 0.0078146 1.0182199e-02 1.3175780e-02 1.0000000 1.0000000 1.0000000 -1.0662931e+00 -1.0624183 -1.0507503e+00 0.0109995 0.0129203 1.5158458e-02 1.0000000 1.0000000 1.0000000e+00 -1.1345025e+00 -1.1307956 -1.1058162 0.0166721 0.0187230 2.0958746e-02 1.0000000 1.0000000e+00 1.0000000 -1.0385308 -1.0430577 -1.0109926
6.650 6.700 0.9974244 0.9991268 -1.2007559 -1.0135680 0.0000000e+00 0.0000000e+00 1.5536396e-03 0.9983981 0.9986857 0.9989399 -1.1853711 -1.1815216e+00 -1.1705676 0.0000000e+00 0.0000000 1.1996251e-03 0.9982008 0.9984187 9.9865459e-01 -1.2007559 -1.2006799 -1.1743383e+00 0.0000000 0.0000000 1.6840700e-03 9.9742445e-01 0.9976650 0.9979083 -1.1135298 -1.1079127e+00 -1.0814279 0.0000000 0.0000000e+00 1.4416424e-03 0.9985272 0.9988562 0.9991268 -1.0670289e+00 -1.0631760 -1.0515384e+00 0.0000000 0.0000000 1.1141835e-03 0.9984261 0.9986446 9.9886445e-01 -1.1356333e+00 -1.1319162 -1.1069561 0.0000000 0.0000000 1.5193502e-03 0.9977701 9.9798607e-01 0.9982329 -1.0410690 -1.0456681 -1.0135680
6.700 6.750 0.9974244 0.9991268 -1.2007559 -1.0135680 0.0000000e+00 0.0000000e+00 9.3118953e-04 0.9983981 0.9986857 0.9989399 -1.1853711 -1.1815216e+00 -1.1705676 0.0000000e+00 0.0000000 6.9540371e-04 0.9982008 0.9984187 9.9865459e-01 -1.2007559 -1.2006799 -1.1743383e+00 0.0000000 0.0000000 7.9704548e-04 9.9742445e-01 0.9976650 0.9979083 -1.1135298 -1.1079127e+00 -1.0814279 0.0000000 0.0000000e+00 7.8684509e-04 0.9985272 0.9988562 0.9991268 -1.0670289e+00 -1.0631760 -1.0515384e+00 0.0000000 0.0000000 6.2319769e-04 0.9984261 0.9986446 9.9886445e-01 -1.1356333e+00 -1.1319162 -1.1069561 0.0000000 0.0000000 6.8380385e-04 0.9977701 9.9798607e-01 0.9982329 -1.0410690 -1.0456681 -1.0135680
6.750 6.800 0.9974244 0.9991268 -1.2007559 -1.0135680 0.0000000e+00 0.0000000e+00 6.5715297e-04 0.9983981 0.9986857 0.9989399 -1.1853711 -1.1815216e+00 -1.1705676 0.0000000e+00 0.0000000 4.6297440e-04 0.9982008 0.9984187 9.9865459e-01 -1.2007559 -1.2006799 -1.1743383e+00 0.0000000 0.0000000 5.6917433e-04 9.9742445e-01 0.9976650 0.9979083 -1.1135298 -1.1079127e+00 -1.0814279 0.0000000 0.0000000e+00 5.7648676e-04 0.9985272 0.9988562 0.9991268 -1.0670289e+00 -1.0631760 -1.0515384e+00 0.0000000 0.0000000 4.4018732e-04 0.9984261 0.9986446 9.9886445e-01 -1.1356333e+00 -1.1319162 -1.1069561 0.0000000 0.0000000 4.7869343e-04 0.9977701 9.9798607e-01 0.9982329 -1.0410690 -1.0456681 -1.0135680
6.800 6.850 0.9974244 0.9991268 -1.2007559 -1.0135680 0.0000000e+00 0.0000000e+00 4.8734720e-04 0.9983981 0.9986857 0.9989399 -1.1853711 -1.1815216e+00 -1.1705676 0.0000000e+00 0.0000000 3.5649516e-04 0.9982008 0.9984187 9.9865459e-01 -1.2007559 -1.2006799 -1.1743383e+00 0.0000000 0.0000000 4.0047297e-04 9.9742445e-01 0.9976650 0.9979083 -1.1135298 -1.1079127e+00 -1.0814279 0.0000000 0.0000000e+00 4.5570514e-04 0.9985272 0.9988562 0.9991268 -1.0670289e+00 -1.0631760 -1.0515384e+00 0.0000000 0.0000000 3.2711570e-04 0.9984261 0.9986446 9.9886445e-01 -1.1356333e+00 -1.1319162 -1.1069561 0.0000000 0.0000000 3.6306071e-04 0.9977701 9.9798607e-01 0.9982329 -1.0410690 -1.0456681 -1.0135680
6.850 6.900 0.9974244 0.9991268 -1.2007559 -1.0135680 0.0000000e+00 0.0000000e+00 4.2773435e-04 0.9983981 0.9986857 0.9989399 -1.1853711 -1.1815216e+00 -1.1705676 0.0000000e+00 0.0000000 2.9644419e-04 0.9982008 0.9984187 9.9865459e-01 -1.2007559 -1.2006799 -1.1743383e+00 0.0000000 0.0000000 3.0299727e-04 9.9742445e-01 0.9976650 0.9979083 -1.1135298 -1.1079127e+00 -1.0814279 0.0000000 0.0000000e+00 4.0001560e-04 0.9985272 0.9988562 0.9991268 -1.0670289e+00 -1.0631760 -1.0515384e+00 0.0000000 0.0000000 2.8178460e-04 0.9984261 0.9986446 9.9886445e-01 -1.1356333e+00 -1.1319162 -1.1069561 0.0000000 0.0000000 2.7654015e-04 0.9977701 9.9798607e-01 0.9982329 -1.0410690 -1.0456681 -1.0135680
6.900 6.950 0.9974244 0.9991268 -1.2007559 -1.0135680 0.0000000e+00 0.0000000e+00 3.5630714e-04 0.9983981 0.9986857 0.9989399 -1.1853711 -1.1815216e+00 -1.1705676 0.0000000e+00 0.0000000 2.4941725e-04 0.9982008 0.9984187 9.9865459e-01 -1.2007559 -1.2006799 -1.1743383e+00 0.0000000 0.0000000 2.4303561e-04 9.9742445e-01 0.9976650 0.9979083 -1.1135298 -1.1079127e+00 -1.0814279 0.0000000 0.0000000e+00 3.5606195e-04 0.9985272 0.9988562 0.9991268 -1.0670289e+00 -1.0631760 -1.0515384e+00 0.0000000 0.0000000 2.3553658e-04 0.9984261 0.9986446 9.9886445e-01 -1.1356333e+00 -1.1319162 -1.1069561 0.0000000 0.0000000 2.2450997e-04 0.9977701 9.9798607e-01 0.9982329 -1.0410690 -1.0456681 -1.0135680
6.950 7.000 0.9974244 0.9991268 -1.2007559 -1.0135680 0.0000000e+00 0.0000000e+00 2.8755217e-04 0.9983981 0.9986857 0.9989399 -1.1853711 -1.1815216e+00 -1.1705676 0.0000000e+00 0.0000000 2.0861662e-04 0.9982008 0.9984187 9.9865459e-01 -1.2007559 -1.2006799 -1.1743383e+00 0.0000000 0.0000000 2.0295583e-04 9.9742445e-01 0.9976650 0.9979083 -1.1135298 -1.1079127e+00 -1.0814279 0.0000000 0.0000000e+00 3.0411409e-04 0.9985272 0.9988562 0.9991268 -1.0670289e+00 -1.0631760 -1.0515384e+00 0.0000000 0.0000000 2.0489980e-04 0.9984261 0.9986446 9.9886445e-01 -1.1356333e+00 -1.1319162 -1.1069561 0.0000000 0.0000000 1.9317483e-04 0.9977701 9.9798607e-01 0.9982329 -1.0410690 -1.0456681 -1.0135680
7.000 7.050 0.9974244 0.9991268 -1.2007559 -1.0135680 0.0000000e+00 0.0000000e+00 2.4058009e-04 0.9983981 0.9986857 0.9989399 -1.1853711 -1.1815216e+00 -1.1705676 0.0000000e+00 0.0000000 1.7456743e-04 0.9982008 0.9984187 9.9865459e-01 -1.2007559 -1.2006799 -1.1743383e+00 0.0000000 0.0000000 1.6480451e-04 9.9742445e-01 0.9976650 0.9979083 -1.1135298 -1.1079127e+00 -1.0814279 0.0000000 0.0000000e+00 2.4351358e-04 0.9985272 0.9988562 0.9991268 -1.0670289e+00 -1.0631760 -1.0515384e+00 0.0000000 0.0000000 1.7374143e-04 0.9984261 0.9986446 9.9886445e-01 -1.1356333e+00 -1.1319162 -1.1069561 0.0000000 0.0000000 1.6108030e-04 0.9977701 9.9798607e-01 0.9982329 -1.0410690 -1.0456681 -1.0135680
7.050 7.100 0.9974244 0.9991268 -1.2007559 -1.0135680 0.0000000e+00 0.0000000e+00 2.1115658e-04 0.9983981 0.9986857 0.9989399 -1.1853711 -1.1815216e+00 -1.1705676 0.0000000e+00 0.0000000 1.5523000e-04 0.9982008 0.9984187 9.9865459e-01 -1.2007559 -1.2006799 -1.1743383e+00 0.0000000 0.0000000 1.4732727e-04 9.9742445e-01 0.9976650 0.9979083 -1.1135298 -1.1079127e+00 -1.0814279 0.0000000 0.0000000e+00 2.1680075e-04 0.9985272 0.9988562 0.9991268 -1.0670289e+00 -1.0631760 -1.0515384e+00 0.0000000 0.0000000 1.5788561e-04 0.9984261 0.9986446 9.9886445e-01 -1.1356333e+00 -1.1319162 -1.1069561 0.0000000 0.0000000 1.3783881e-04 0.9977701 9.9798607e-01 0.9982329 -1.0410690 -1.0456681 -1.0135680
